0,1,2,3,4,5,6
tbl_151403,12,112,42,0,30,0
tbl_151452,0,0,11,0,0,0
tbl_151483,12,101,42,0,0,0
tbl_151681,0,0,95,0,0,5
tbl_151720,0,6,72,0,0,0
tbl_151736,0,0,72,0,0,0
tbl_151847,12,124,42,0,30,0
tbl_151895,0,0,17,0,0,0
tbl_151937,12,107,42,0,0,0
tbl_152136,0,0,101,0,0,5
tbl_152165,0,6,72,0,0,0
tbl_152180,0,0,72,0,0,0
tbl_152291,12,134,42,0,30,0
tbl_152338,0,0,22,0,0,0
tbl_152368,12,112,42,0,0,0
tbl_152506,0,0,72,0,0,0
tbl_152568,0,0,106,0,0,5
tbl_152597,0,6,72,0,0,0
tbl_152612,0,0,72,0,0,0
tbl_211519,0,570,0,0,0,3
tbl_352623,7,0,6,0,0,0
tbl_33569,0,0,0,0,0,0
tbl_33583,0,0,0,0,971,0
tbl_83896,0,6,26,0,0,0
tbl_84261,0,7,28,0,0,0
tbl_91909,0,6,26,0,0,0
tbl_83895,12,12,49,0,0,0
tbl_365184,5,0,0,0,0,0
tbl_239346,4,0,0,0,0,0
tbl_92040,0,7,28,0,0,0
tbl_92000,0,7,28,0,0,0
tbl_84138,0,7,21,0,0,0
tbl_84139,7,7,28,0,0,0
tbl_84233,0,7,28,0,0,0
tbl_92009,0,7,28,0,0,0
tbl_91939,0,7,28,0,0,0
tbl_91957,0,0,16,0,0,0
tbl_84065,0,7,28,0,0,0
tbl_91757,0,7,28,0,0,0
tbl_84262,14,14,49,0,0,0
tbl_83819,0,7,21,0,0,0
tbl_83820,7,7,28,0,0,0
tbl_91954,0,7,28,0,0,0
tbl_92096,0,6,26,0,0,0
tbl_83728,0,14,21,0,0,0
tbl_83729,7,26,75,0,0,0
tbl_91910,12,12,43,0,0,0
tbl_83960,0,7,21,0,0,0
tbl_83961,7,7,79,0,0,0
tbl_91742,0,8,32,0,0,0
tbl_92039,14,14,49,0,0,0
tbl_88135,0,7,28,0,0,0
tbl_92034,0,6,26,0,0,0
tbl_92110,0,6,26,0,0,0
tbl_84438,0,7,21,0,0,0
tbl_84437,7,160,34,0,0,0
tbl_83853,0,7,21,0,0,0
tbl_33184,0,0,0,249,0,0
tbl_83937,0,7,21,0,0,0
tbl_83852,7,7,28,0,0,0
tbl_83936,7,7,34,0,0,0
tbl_83977,0,7,21,0,0,0
tbl_83978,7,7,29,0,0,0
tbl_92082,0,7,30,0,0,0
tbl_92044,0,7,28,0,0,0
tbl_91907,0,7,28,0,0,0
tbl_92036,0,6,26,0,0,0
tbl_91946,0,6,26,0,0,0
tbl_91942,0,7,28,0,0,0
tbl_91952,0,7,28,0,0,0
tbl_84238,0,7,28,0,0,0
tbl_91891,0,7,28,0,0,0
tbl_83982,0,6,26,0,0,0
tbl_83952,0,7,21,0,0,0
tbl_83951,7,7,28,0,0,0
tbl_84234,14,14,49,0,0,0
tbl_91936,14,14,49,0,0,0
tbl_84277,0,7,21,0,0,0
tbl_92095,12,12,43,0,0,0
tbl_92008,14,14,49,0,0,0
tbl_91955,14,14,49,0,0,0
tbl_84066,14,14,49,0,0,0
tbl_91892,0,7,28,0,0,0
tbl_84276,7,9,28,0,0,0
tbl_91759,14,14,49,0,0,0
tbl_88345,0,7,21,0,0,0
tbl_88329,0,7,28,0,0,0
tbl_88344,7,9,28,0,0,0
tbl_84533,0,7,21,0,0,0
tbl_92024,0,7,28,0,0,0
tbl_84534,7,7,34,0,0,0
tbl_84253,0,14,21,0,0,0
tbl_91740,16,16,54,0,0,0
tbl_84254,7,7,21,0,0,0
tbl_83869,0,14,21,0,0,0
tbl_83868,7,7,43,0,0,0
tbl_88134,14,14,49,0,0,0
tbl_92033,12,68,43,0,0,0
tbl_91956,0,0,15,0,0,0
tbl_84322,0,7,21,0,0,0
tbl_84323,7,53,36,0,0,0
tbl_92111,12,104,43,0,0,0
tbl_91978,8,0,7,0,0,0
tbl_92079,14,98,48,0,0,0
tbl_84067,0,7,21,0,0,0
tbl_84068,7,7,28,0,0,0
tbl_83893,0,7,21,0,0,0
tbl_83894,7,58,64,0,2,0
tbl_92045,14,14,49,0,0,0
tbl_91941,14,14,49,0,0,0
tbl_91905,14,14,49,0,0,0
tbl_83708,0,7,21,0,0,0
tbl_83707,7,173,96,0,0,0
tbl_91945,12,12,43,0,0,0
tbl_92035,12,124,43,0,0,0
tbl_84237,14,14,49,0,0,0
tbl_91889,14,14,49,0,0,0
tbl_83983,12,12,43,0,0,0
tbl_84268,0,7,21,0,0,0
tbl_83697,0,7,21,0,0,0
tbl_91893,14,14,49,0,0,0
tbl_83696,7,7,28,0,0,0
tbl_91953,14,343,289,0,21,0
tbl_84267,7,15,160,0,0,0
tbl_84259,7,0,14,0,0,0
